Section,Topic,Number,Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
Importing Images into Lightroom Classic,The Import Dialog Box,1,Which of the following is NOT a source option in the Lightroom Classic Import dialog?,A collection within your Lightroom catalogue,A specific folder on your hard drive,A memory card from your camera,A connected camera
Importing Images into Lightroom Classic,The Import Dialog Box,2,"What is the purpose of the ""Loupe"" view in the Import dialog?",To see a larger preview of a single selected image,To compare two images side-by-side,To view all the images on your memory card as thumbnails,To filter images based on their file type
Importing Images into Lightroom Classic,The Import Dialog Box,3,"In the Import dialog, what does the ""Eject after import"" checkbox do?",It safely removes the memory card or connected device after the import.,It closes the Import dialog box after the import is complete.,It deletes the images from the memory card after they are imported.,It moves the imported photos to the trash after they are in the catalogue.
Importing Images into Lightroom Classic,The Import Dialog Box,4,Which panel in the Import dialog allows you to choose where your photos will be stored?,Destination,Source,File Handling,Apply During Import
Importing Images into Lightroom Classic,The Import Dialog Box,5,"What is the function of the ""Don't Import Suspected Duplicates"" option?",It checks for images that have already been imported into the current catalogue and deselects them.,It prevents Lightroom from importing any images that have the same filename as existing images in the catalogue.,It analyses image content to identify and exclude visually similar photos.,It deletes any duplicate images found on the memory card.
Importing Images into Lightroom Classic,File Handling,1,"What is the difference between ""Copy"" and ""Move"" in the File Handling panel of the Import dialog?","""Copy"" creates a duplicate of the image file in the new location, while ""Move"" transfers the original file.","""Copy"" is for importing from a memory card, while ""Move"" is for importing from a hard drive.","""Copy"" renames the files during import, while ""Move"" keeps the original filenames.",There is no difference; they perform the same function.
Importing Images into Lightroom Classic,File Handling,2,"When should you use the ""Add"" option in the File Handling panel?",When your photos are already on your computer and you want to keep them in their current location.,When you want to import photos from a memory card.,When you want to create a second copy of your photos in a new location.,When you want to convert your photos to DNG format during import.
Importing Images into Lightroom Classic,File Handling,3,"What is the primary advantage of choosing ""Copy as DNG"" when importing?","It converts proprietary raw files into Adobe's openly documented raw format, which can also store metadata directly in the file.",It bakes your Develop adjustments permanently into the raw data.,It creates a smaller JPEG version of each photo for web use.,It doubles the dynamic range captured by the camera's sensor.
Importing Images into Lightroom Classic,File Handling,4,"Which of the following is NOT an option in the ""Build Previews"" setting in the File Handling panel?",2:1,Minimal,Standard,Embedded & Sidecar
Importing Images into Lightroom Classic,File Handling,5,"What does the ""Make a Second Copy To"" option allow you to do?",Create a backup of your imported photos to a different location during the import process.,Import the same photos into two different Lightroom catalogues simultaneously.,Create virtual copies of your photos within the same catalogue.,Convert your photos to a different file format and save them in a separate folder.
Importing Images into Lightroom Classic,File Renaming,1,Which of the following is a valid way to create a custom file renaming template?,"By using the ""Filename Template Editor"" to combine various text and token options.","By typing the desired filename structure directly into the ""Custom Name"" field.","By selecting a preset and then modifying it in the ""Develop"" module.",By using a third-party plugin to create and import templates.
Importing Images into Lightroom Classic,File Renaming,2,"What does the ""Date (YYYYMMDD)"" token in the Filename Template Editor represent?",The date the photo was captured.,The date the photo was imported into Lightroom.,The current date.,A custom date that you can enter manually.
